"14","2","IT Helpdesk Technician","Demonstrated interest in IT troubleshooting, providing a better solution, and self improvement Experience working in a fast paced, results driven environment Proven track record of excellent customer service in 500+ users environments Familiarity with MacOS, iOS, GSuite, Windows, Box, Imaging/deployment, network printers Solid troubleshooting and research skills across multi platform desktop and networking issues Excellent communication and interpersonal skills and a positive attitude are a must Ability to respond to rapidly changing priorities, tight timelines, and a fast-paced environment Experience in imaging MacOS and Windows systems"
"15","6","Software Test Engineer","4-year degree in Computer Science, IT, Engineering, Mathematics, or similar
Should hold Canadian Citizenship/PR Status
Good aptitude in IT and the interest and drive to expand your IT skill set
Excellent communication and interpersonal skills
A problem solver with a keen eye for attention to detail
Flexible, ambitious and adaptable to change
Able to commit to work for Accordion for a minimum of two years working as QA Analyst following the training period
Passion to learn and adapt new technology"
"16","6","Software Test Engineer - intership","Completing an undergraduate degree in Computer Science or equivalent
Experience developing web applications and tools
Experience working with C#, PHP, Java, is an asset
Experience in Windows services and web services with .NET is an asset"
"17","4","Accounts Payable","Advantages
- Permanent position with an incredible company who takes care of their employees
- $35,000-$45,000/yr dependent on skills and experience
- Monday to Friday 8:30 am - 5:00 pm
- Great benefits plan
- RRSP plan available
- Generous vacation time
- Above industry standard bonus structure based on personal and company performance"
"18","4","Accounts Payable Clerk","Code and enter invoices into our accounting system.
•	Reconcile vendor statements, and issue payments within payment terms.
•	Code all cheques to appropriate ledger accounts.
•	Posting journal entries to maintain accounting schedules.
•	Related administration tasks such as filing, faxing and dealing with customers.
•	Handle receptionist duties during lunch and break coverage.
•	Other duties as requested by management"
"19","2","Account Manager","Job Requirements:
Grow existing staffing clients and develop new staffing clients
Track all job requisitions and candidates
Calibrate candidates and client update meetings with managers and upper management
Conduct interviews; reference checks and orientations
Assist with on-boarding, orientations, and kickoffs
Ensure completion of all candidate employment documentation
Identify, utilize and track recruitment and advertising sources and methods"
"20","5","Accounts Payable Clerk","High School diploma or equivalent
* Minimum 1-year AP experience in an office setting
* Previous experience with Acumatica or accounts payable systems an asset
* Demonstrated ability to be ""task focused"" with a strong attention to detail
* Accuracy and consistency of work
* Ability to work under a tight deadline, fast paced environment and be flexible to change"
"21","4","Senior Internal Auditor ","Bachelor’s degree in business administration, accounting, or related fields and/or certifications (e.g. CPA, CGA, CISA, CIA, etc.).
Minimum of 5+ years of internal audit and internal control related experience; Big 4 experience a strong plus.
Approximately 20% travel to other SYNNEX Technology Solutions international locations including US, Japan, China, Mexico, Brazil or other Latin American country.
Proficient verbal and written business communication in English. 
Strong skills in performing data analytics using tool (e.g., ACL)."
"22","2","Financial Analyst","The qualified candidate must have:
A Bachelor's Degree or equivalent work experience in IT and/or business administration. Finance accountancy/ finance degree preferable;
Five plus (5+) years of Project/Financial Analyst experience in complex projects with direct support responsibilities to project/program manager(s);
Experience supporting the management of project financials (budget, forecast, variance) of at least $1M;
Experience working within Health Authorities;
Analytical skills including the ability to comprehend, analyze, and resolve complex issues and present information in concise meaningful ways;"
"23","5","HR Manager ","We are seeking candidates who have minimum 5 years of relevant progressive HR experience, hands on knowledge of BC Labour Law, and experience with employer branding. Successful candidate will be adept in developing new HR initiatives, approaches, policies and procedures to achieve alignment among all functions and will support the development of the other HR team members and provide mentorship"
"24","3","HR Generalist","Roles and Responsibilities

	•	Day to day admin support of employee data
	•	First point of contact for employee HR inquires
	•	Coordinating on boarding, terminations, extended absences etc.
	•	Prepares, delivers and follows up on approved offer letters and onboarding documents
	•	Coaches leaders on basic to moderate employee relations matters. Elevates more complex matters to supervisor further support and or resolution as required
	•	Coordinates vacation and extended absences administration including tracking, reconciliation and fulfillment follow-up
"
"25","5","Office Clerk","What do you have to do as an office clerk?
-Update the return of goods records;
- Provide MSDS to clients;
-Update client records
-Do the inventory check for sales representatives;
-Provide brochures of different products to customers;
-Fill documents relating to accounts payable;
- Office tasks such as photocopying, filing, billing;
-Reply the various requests of customers, make the home;
-Make replacement at the reception during lunch hours;
-Any other related administrative task

Qualifications:
Do you have what you need for this job?
-Diploma of Secondary Education
-Excellent customer service
-Bilingualism (French-English)
-Excellent sense of organization
-Attention to details
-Capable of working in a team in a fast work environment"
"26","4","Assistant Store Manager","The Right Candidate
	•	Is a strong leader with a dynamic and positive personality.
	•	Has experience in retail management and customer service.
	•	Enjoys a fun, fast-paced workplace; takes pride in their work.
	•	Comfortable working in a rapidly-changing environment where priorities change.
	•	Reliable; able to work independently, and as part of a team.
	•	Likes to multitask, though keeps their workplace organized and clean.
"
"27","1","Sales Representative / Entry Level ","Preferred Qualifications:
	•	Must be authorized to work in Canada
	•	Sales/Customer Service Background (preferred)
	•	Strong work ethic
	•	Positive attitude
	•	Ability to work with a team and individually
	•	Excellent interpersonal skills; customer service experience is an asset
	•	Knowledge of a 2nd language an asset
"
"28","3","Sales Consultant","Qualifications and Skills
	•	Post-Secondary Degree or Diploma – new grads welcome!
	•	Strong negotiation and communication skills with the internal drive to succeed
	•	Have previous sales experience, or experience in retail/hospitality environments
	•	Valid driver’s license
	•	Eligible to work in Canada
"
"29","3","Business Management ","As a contract Business Management Expert, you'll receive the following:
	•	Reliable Payments: Timely, reliable payments twice a month
	•	Independence: No waiting, no assignments, and a massive library of questions for you to choose from
	•	Flexibility: Work from anywhere, at any time, completely online
	•	Supportive Staff: Access to a supportive in-house team to answer your questions
What we’re looking for:
	•	Expertise in advanced topics in Business Management
	•	Strong English-language Reading and Writing skills
"
"30","3","Junior Assistant Manager ","Job Description 

Sales:
• Coordinate actions with the store management team so when in absence can ensure the continuity and the good functioning of store operations; 
• Greet customers, answer their questions and advise them on the technical features, advantages, quality and materials of the merchandise; 
• Train employees on best sales techniques and product knowledge; 
• Reach personal sales objectives; 
• Communicate all necessary information to the team so they can achieve the sales objectives established by the management team; 
• Follow administrative procedures and policies. "
"31","2","Assistant Manager","Qualifications:
	•	Education Required: Associate’s Degree / CEGEP / Vocational or Technical Training
	•	Minimum 10 years of 'new build' shipbuilding experience 
	•	Demonstrable leadership experience 
	•	Strong understanding of planning fundamentals for shipbuilding programs including build strategy, detailed production planning, bill of material development and job package development for the shop floor
"
"32","3","Financial Analyst","Accounts Payable
	•	Processes all invoices and credits, ensuring the proper authorization is in place and appropriate backup is provided. Follows up with P+RS business unit managers as needed if either is not provided, and defers to the Manager, Accounting & Financial Analysis when necessary
	•	Analyzes and calculates prices, taxes, and discounts on goods received from vendors
	•	Keeps up to date on all university accounts payable (AP) policies as applicable
	•	Establishes and maintains a filing system for all AP records, both electronic and hard copy, according to university and P+RS financial policies
"
